0 1:0:1 2:3:1 3:8:1 4:13:-0.5396304356808779 5:14:-0.6516003476058171
1 1:0:1 2:3:1 3:8:1 4:13:0.825848048134191 5:14:0.6819529712949639
0 1:1:1 2:3:1 3:9:1 4:13:-0.9427508676698604 5:14:-0.9815086510479509
0 1:1:1 2:3:1 3:9:1 4:13:0.15513175371110188 5:14:-0.3853135968617602
1 1:0:1 2:4:1 3:8:1 4:13:2.591239462318816 5:14:-0.48423407286625136
1 1:2:1 2:3:1 3:10:1 4:13:0.25415746401577566 5:14:-1.2477831819648495
0 1:0:1 2:3:1 3:8:1 4:13:-1.2856800498792558 5:14:0.13074057728609134
0 1:2:1 2:5:1 3:10:1 4:13:-1.5598485041923271 5:14:0.18645431476942764
1 1:0:1 2:3:1 3:9:1 4:13:0.6805732261808835 5:14:0.5470973811700379
1 1:0:1 2:3:1 3:8:1 4:13:1.3121749221391945 5:14:0.44381942814622843
1 1:0:1 2:6:1 3:9:1 4:13:1.355369508912365 5:14:-0.2176812032272203
1 1:2:1 2:3:1 3:10:1 4:13:0.8260073194997002 5:14:-0.05952535606180008
1 1:0:1 2:3:1 3:8:1 4:13:0.9642331103688002 5:14:-0.20219265243389406
1 1:0:1 2:3:1 3:8:1 4:13:-0.15013843779431535 5:14:0.8254163489880298
0 1:0:1 2:3:1 3:8:1 4:13:-1.1580682334866548 5:14:0.46210347426327075
1 1:2:1 2:3:1 3:10:1 4:13:1.0225561868138953 5:14:-0.926930471578083
0 1:0:1 2:5:1 3:10:1 4:13:-1.1776263661655901 5:14:0.852433334796224
1 1:2:1 2:3:1 3:10:1 4:13:0.06845615820490913 5:14:0.7746340534293368
0 1:1:1 2:3:1 3:9:1 4:13:-0.34898484096084237 5:14:0.06980208499001891
0 1:0:1 2:3:1 3:8:1 4:13:-0.7937138690592656 5:14:-0.11473644146689901
0 1:1:1 2:6:1 3:11:1 4:13:0.5594264309011303 5:14:-1.4358621511794394
1 1:0:1 2:6:1 3:8:1 4:13:1.8047414806871296 5:14:1.0324652605511468
1 1:0:1 2:6:1 3:9:1 4:13:1.098852631772152 5:14:1.09877685198719
1 1:0:1 2:6:1 3:8:1 4:13:1.0311023786717963 5:14:0.30729952087660933
1 1:0:1 2:3:1 3:8:1 4:13:0.25058843541292297 5:14:0.6103702654334648
1 1:2:1 2:3:1 3:8:1 4:13:1.1546608833545393 5:14:-0.4749453111609562
1 1:0:1 2:3:1 3:8:1 4:13:0.6653007744902968 5:14:-0.6929095952606542
1 1:2:1 2:3:1 3:10:1 4:13:0.8523918571319432 5:14:-1.4301413779606327
0 1:1:1 2:3:1 3:9:1 4:13:-0.7828408332761093 5:14:-0.20812225035727522
0 1:0:1 2:5:1 3:10:1 4:13:-1.6583037521530901 5:14:-0.47193186578943347
0 1:0:1 2:5:1 3:10:1 4:13:-1.6930284217644647 5:14:-2.025142586657607
1 1:1:1 2:4:1 3:11:1 4:13:2.3686736652708946 5:14:-0.5601810401969696
0 1:0:1 2:3:1 3:8:1 4:13:-0.07133524117291468 5:14:0.08187413938632256
1 1:0:1 2:3:1 3:8:1 4:13:0.32725188129881433 5:14:1.305478807154329
0 1:0:1 2:5:1 3:8:1 4:13:-1.820376905126064 5:14:0.6621306745210467
0 1:0:1 2:5:1 3:10:1 4:13:-1.4073565777462071 5:14:0.045571839903813784
0 1:0:1 2:5:1 3:8:1 4:13:-1.7551864425695025 5:14:-1.9520877995225019
1 1:0:1 2:6:1 3:9:1 4:13:1.1786955558019772 5:14:-0.020901593964148132
0 1:0:1 2:5:1 3:8:1 4:13:-1.876537735912994 5:14:2.1330333746562666
1 1:0:1 2:4:1 3:9:1 4:13:2.5298342401675162 5:14:-0.5915713888358299
0 1:1:1 2:3:1 3:9:1 4:13:-0.8080446346520016 5:14:0.28099186773503265
0 1:0:1 2:5:1 3:8:1 4:13:-2.0263207931909517 5:14:-0.4930009346588328
0 1:0:1 2:5:1 3:10:1 4:13:-1.5444603177911855 5:14:0.6795977489346758
0 1:1:1 2:3:1 3:9:1 4:13:-0.33137609720725414 5:14:0.5883172064845765
1 1:0:1 2:6:1 3:8:1 4:13:1.1732935229774184 5:14:0.8128621188389601
1 1:0:1 2:6:1 3:9:1 4:13:1.5331384868596039 5:14:-0.8289950109220723
1 1:2:1 2:3:1 3:10:1 4:13:0.7786131813915572 5:14:1.2669111491866227
0 1:2:1 2:7:1 3:12:1 4:13:-2.058320715138949 5:14:1.088950596967366
1 1:2:1 2:3:1 3:8:1 4:13:1.0826602704074684 5:14:1.7654542402810969
1 1:0:1 2:3:1 3:8:1 4:13:1.1519914582675579 5:14:-0.3345012358409484
1 1:0:1 2:6:1 3:8:1 4:13:1.6521449400544352 5:14:0.9178619470547761
1 1:2:1 2:3:1 3:10:1 4:13:0.714793729357789 5:14:0.40498171096095553
1 1:2:1 2:3:1 3:12:1 4:13:-0.27062383183849703 5:14:-0.7076694656187807
1 1:1:1 2:4:1 3:11:1 4:13:1.8399103683588671 5:14:0.8995998754332507
0 1:1:1 2:3:1 3:9:1 4:13:-0.053198233186156796 5:14:-0.6002168771587947
0 1:0:1 2:3:1 3:8:1 4:13:0.07123640976372436 5:14:-1.867265192591748
0 1:0:1 2:5:1 3:10:1 4:13:-1.2172204342846318 5:14:-0.7303666317171367
1 1:0:1 2:6:1 3:8:1 4:13:1.5370358654053458 5:14:-3.2412673400690726
0 1:0:1 2:5:1 3:8:1 4:13:-2.171052819570561 5:14:-0.44004448669698376
1 1:0:1 2:6:1 3:9:1 4:13:1.2800834663561242 5:14:0.8496020970210246
1 1:0:1 2:3:1 3:8:1 4:13:0.3412939454844057 5:14:-0.31026675659345604
0 1:0:1 2:5:1 3:10:1 4:13:-1.36045573115083 5:14:0.06428001909546277
0 1:0:1 2:5:1 3:10:1 4:13:-1.4021005271588782 5:14:0.21645858958197486
0 1:1:1 2:3:1 3:9:1 4:13:-0.5677245254801606 5:14:-0.5893647569442115
0 1:0:1 2:5:1 3:10:1 4:13:-1.4348386734329202 5:14:2.1439440893253257
1 1:0:1 2:6:1 3:8:1 4:13:1.9852234844554366 5:14:-1.5193699659540134
0 1:0:1 2:5:1 3:8:1 4:13:-2.3279946014731516 5:14:-0.6226995198205938
0 1:2:1 2:7:1 3:12:1 4:13:-2.003477382180378 5:14:-0.7925207384327007
0 1:0:1 2:3:1 3:8:1 4:13:-1.132074272881558 5:14:1.4412732890661155
0 1:0:1 2:5:1 3:10:1 4:13:-1.2075715832600078 5:14:2.3146585666735087
1 1:0:1 2:4:1 3:9:1 4:13:1.8637890792245217 5:14:1.277664895788425
